,Type of Work:,Registration Number / Date:,Application Title:,Title:,Area Covered:,Description:,Copyright Claimant:,Date of Creation:,Date of Publication:,Authorship on Application:,Previous Registration:,Basis of Claim:,Copyright Note:,Variant title:,Other Title:,Names:,Edition:,Notes:,Series:,Scale:
0,['Map'],['VA0001060584 / 1998-11-03 '],"['Sanborn Map, Wheeling, WV, vol. 2, 1982; Sanborn fire insurance map.']","['Insurance maps of Wheeling, West Virginia : vol. 2.']","['Wheeling, WV']",['Sheets.'],"['EDR Sanborn, Inc.']",['1982'],['1982-01-01  '],"['Sanborn Map Company, employer for hire.']",['Map versions prev. pub.'],['New Matter: new & rev. map & cartographic compilation.'],['C.O. correspondence.'],"['Insurance maps of Wheeling, West Virginia : vol. 2.']","['Sanborn Map, Wheeling, WV, vol. 2, 1982', 'Sanborn fire insurance map.']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",[],[],[],[]
1,['Map'],['VA0000992794 / 2000-02-11 '],"['Sanborn Map, Winneteka, IL, 1984.']","['Insurance maps of Winnetka, Illinois.']","['Winnetka, IL']",['6 p.'],['Sanborn Map Company'],['1984'],['1984-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],[],"['Winnetka, Illinois']",['Sanborn Map Company'],['Rev. to 1984.'],[],[],[]
2,['Map'],['VA0000996798 / 2000-01-10 '],"['Sanborn map, Winthrop, MA, 1980.']","['Insurance maps of Winthrop, Massachusetts.']","['Winthrop, MA']",['5 p.'],['Sanborn Map Company'],['1980'],['1980-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],[],[],['Sanborn Map Company'],['Rev. Oct. 1980.'],['Maps.'],[],[]
3,['Map'],['VA0000996821 / 2000-01-10 '],"['Sanborn map Yonkers, NY, vol. 1, 1978.']","['Insurance maps of Yonkers, New York : vol. 1.']","['Yonkers, NY']",['6 p.'],['Sanborn Map Company'],['1978'],['1978-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 1']","['Sanborn map Yonkers, NY, vol. 1, 1978']",['Sanborn Map Company'],['Rev. to 1978.'],[],[],[]
4,['Map'],['VA0001078428 / 1999-09-16 '],"['Yonkers, NY, vol. 1A, 1990.']","['Insurance maps of Yonkers, New York : vol. 1A.']","['Yonkers, NY']",[],['Sanborn Map Company'],['1990'],['1990-01-01  '],[],['Pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 1A.']","['Yonkers, NY, vol. 1A, 1990.']",['Sanborn Map Company'],['Ed. of 1917.'],[],[],[]
5,['Map'],['VA0000996038 / 1999-02-25 '],"['Sanborn map, Yonkers, NY, vol. 2, 1991; Sanborn fire insurance map.']","['Insurance maps of Yonkers, New York : vol. 2.']","['Yonkers, NY']",['5 p.'],"['Sanborn Library, LLC']",['1991'],['1991-01-01  '],['Sanborn Map Company.'],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 2.']","['Sanborn map, Yonkers, NY, vol. 2, 1991', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company']",['Rev. 1991.'],[],[],[]
6,['Map'],['VA0001078369 / 1999-09-16 '],"['Sanborn map, Yonkers, NY, vol. 2, 1988.']","['Insurance maps of Yonkers, New York : vol. 2.']","['Yonkers, NY']",[],['Sanborn Map Company'],['1988'],['1988-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 2.']","['Sanborn map, Yonkers, NY, vol. 2, 1988.']",['Sanborn Map Company'],['Rev. to 1988.'],[],[],[]
7,['Map'],['VA0000996817 / 2000-01-10 '],"['Sanborn map Yonkers, NY, vol. 2, 1988.']","['Insurance maps of Yonkers, New York : vol. 2.']","['Yonkers, NY']",['6 p.'],['Sanborn Map Company'],['1988'],['1988-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 2']","['Sanborn map Yonkers, NY, vol. 2, 1988']",['Sanborn Map Company'],['Rev. to 1988.'],[],[],[]
8,['Map'],['VA0001078429 / 1999-09-16 '],"['Yonkers, NY, vol. 2, 1979.']","['Insurance maps of Yonkers, New York : vol. 2.']","['Yonkers, NY']",[],['Sanborn Map Company'],['1979'],['1979-01-01  '],[],['Pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 2.']","['Yonkers, NY, vol. 2, 1979.']",['Sanborn Map Company'],['Ed. of 1917.'],[],[],[]
9,['Map'],['VA0000996822 / 2000-01-10 '],"['Sanborn map Yonkers, NY, vol.2, 1979.']","['Insurance maps of Yonkers, New York : vol. 2.']","['Yonkers, NY']",['6 p.'],['Sanborn Map Company'],['1979'],['1979-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Yonkers, New York : vol. 2']","['Sanborn map Yonkers, NY, vol.2, 1979']",['Sanborn Map Company'],['Rev. to 1979.'],[],[],[]
10,['Map'],['VA0001003797 / 1999-08-13 '],"['Sanborn map, Youngstown, OH, vol. 1, 1978; Sanborn fire insurance map.']","['Insurance maps of Youngstown, Ohio : vol. 1.']","['Youngstown, OH']",['7 p.'],"['Sanborn Library, LLC']",['1978'],['1978-12-01  '],['map: Sanborn Map Company.'],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Insurance maps of Youngstown, Ohio : vol. 1.']","['Sanborn map, Youngstown, OH, vol. 1, 1978', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company']",['Rev. to 1978.'],[],[],[]
11,['Map'],['VA0000836968 / 1997-09-16 '],"['Sanborn map, Iowa City, Iowa; Sanborn fire insurance map.']","['Iowa City, Iowa.']","['Iowa City, IA']",[],['Sanborn Map Company'],['1970'],['1970-01-01  '],[],['Prev. pub. map versions are preexisting.'],['New Matter: new & rev. map & cartographic compilation.'],['C.O. correspondence.'],[],"['Sanborn map, Iowa City, Iowa', 'Sanborn fire insurance map.']",['Sanborn Map Company'],[],[],[],[]
12,['Map'],['VA0001078417 / 1999-09-16 '],"['Jersey City, NJ, vol. 2, 1993.']","['Jersey City, NJ.']","['Jersey City, NJ']",['Map.'],['Sanborn Map Company'],['1993'],['1993-12-01  '],"['Sanborn Map Company, Inc., employer for hire.']",['Pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],[],[],"['Sanborn Map Company', 'Sanborn Map Company, Inc.']",[],[],[],[]
13,['Map'],['VA0000855505 / 1997-06-10 '],"['Sanborn map Kahului, Hawaii; Sanborn fire insurance map.']","['Kahului, Hawai.']","['Kahului, HI']",['Map.'],['Sanborn Map Company'],['1975'],['1975-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],[],"['Sanborn map Kahului, Hawaii', 'Sanborn fire insurance map.']",['Sanborn Map Company'],['Rev. 1975.'],[],[],[]
14,['Map'],['VA0000994814 / 1999-11-29 '],"['Sanborn map--Kahului, Hawaii, 1980.']","['Kahului, Hawaii : 1980.']","['Kahului, HI']",[],['Sanborn Map Company'],['1980'],['1980-02-01  '],[],['Appl. states prev. pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Kahului, Hawaii : 1980.']","['Sanborn map--Kahului, Hawaii, 1980.']",['Sanborn Map Company'],[],[],[],[]
15,['Map'],['VA0000855524 / 1997-06-10 '],"['Sanborn map Kapaa, Hawaii; Sanborn fire insurance map.']","['Kapaa, Hawaii.']","['Kapaa, HI']",['Map.'],['Sanborn Map Company'],['1975'],['1975-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],[],"['Sanborn map Kapaa, Hawaii', 'Sanborn fire insurance map.']",['Sanborn Map Company'],['Rev. 1975.'],[],[],[]
16,['Map'],['VA0000994812 / 1999-11-29 '],"['Sanborn map--Kapaa, Hawaii, 1981.']","['Kapaa, Hawaii : 1981.']","['Kapaa, HI']",[],['Sanborn Map Company'],['1981'],['1981-12-01  '],[],['Appl. states prev. pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Kapaa, Hawaii : 1981.']","['Sanborn map--Kapaa, Hawaii, 1981.']",['Sanborn Map Company'],[],[],[],[]
17,['Map'],['VA0000855512 / 1997-06-10 '],"['Sanborn map Kapaau, Hawaii; Sanborn fire insurance map.']","['Kapaau, Hawaii.']","['Kapaau, HI']",['Map.'],['Sanborn Map Company'],['1974'],['1974-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],[],"['Sanborn map Kapaau, Hawaii', 'Sanborn fire insurance map.']",['Sanborn Map Company'],['Rev. 1974.'],[],[],[]
18,['Map'],['VA0000855502 / 1997-06-10 '],"['Sanborn map Koloa, Hawaii; Sanborn fire insurance map.']","['Koloa, Hawaii.']","['Koloa, HI']",['Map.'],['Sanborn Map Company'],['1975'],['1975-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],[],"['Sanborn map Koloa, Hawaii', 'Sanborn fire insurance map.']",['Sanborn Map Company'],['Rev. 1975.'],[],[],[]
19,['Map'],['VA0000992846 / 2000-02-11 '],"['Sanborn map Laconia, NH, 1976.']","['Laconia, including the Weirs, Belknap County, New Hampshire.']","['Laconia, NH']",['4 p.'],['Sanborn Map Company'],['1976'],['1976-08-01  '],[],['Preexisting material: prev. pub. maps.'],['New Matter: updated cartography.'],['C.O. correspondence.'],[],"['Laconia, NH, 1976']","['Sanborn Map Company', 'Sanborn']",['Rev. to 1976.'],[],[],[]
20,['Map'],['VA0000855525 / 1997-06-10 '],"['Sanborn map Lahaina, Hawaii; Sanborn fire insurance map.']","['Lahaina, Hawaii.']","['Lahaina, HI']",['Map.'],['Sanborn Map Company'],['1975'],['1975-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],[],"['Sanborn map Lahaina, Hawaii', 'Sanborn fire insurance map.']",['Sanborn Map Company'],['Rev. 1975.'],[],[],[]
21,['Map'],['VA0000994805 / 1999-11-29 '],"['Sanborn map--Lewiston, Maine, 1977.']","['Lewiston, Maine : 1977.']","['Lewiston, ME']",[],['Sanborn Map Company'],['1977'],['1Jan77  '],[],['Appl. states prev. pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Lewiston, Maine : 1977.']","['Sanborn map--Lewiston, Maine, 1977.']",['Sanborn Map Company'],[],[],[],[]
22,['Map'],['VA0000855517 / 1997-06-10 '],"['Sanborn map Lihue, Hawaii; Sanborn fire insurance map.']","['Lihue, Hawaii.']","['Lihue, Hawaii']",['Map.'],['Sanborn Map Company'],['1975'],['1975-01-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],[],"['Sanborn map Lihue, Hawaii', 'Sanborn fire insurance map.']",['Sanborn Map Company'],['Rev. 1975.'],[],[],[]
23,['Map'],['VA0000994813 / 1999-11-29 '],"['Sanborn map--Lihue, Hawaii, 1980.']","['Lihue, Hawaii : 1980.']","['Lihue, HI']",[],['Sanborn Map Company'],['1980'],['1980-02-01  '],[],['Appl. states prev. pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Lihue, Hawaii : 1980.']","['Sanborn map--Lihue, Hawaii, 1980.']",['Sanborn Map Company'],[],[],[],[]
24,['Text'],"['RE0000794203 / 1998-12-08 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1968-01-01  ']",[],"['Lincoln, Nebraska.  Vol. 1.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Lincoln, Nebraska']",[],"['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],['Sanborn map'],[]
25,['Map'],['VA0000855534 / 1997-06-10 '],"['Sanborn map Lodi, California; Sanborn fire insurance map.']","['Lodi, California.']","['Lodi, CA']",['Map.'],['Sanborn Map Company'],['1970'],['1970-02-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],[],"['Sanborn map Lodi, California', 'Sanborn fire insurance map.']",['Sanborn Map Company'],['Rev. 1970.'],[],[],[]
26,['Text'],"['RE0000813840 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1970-02-01  ']",[],"['Lodi, California, 1970.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions and revisions.'],[],"['Lodi, California, 1970.']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],['Sanborn map'],[]
27,['Text'],"['RE0000813824 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Feb66  ']",[],"['Los Angeles, CA.  Vol. 10, 1966.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Los Angeles, CA.']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],['Sanborn map'],[]
28,['Text'],"['RE0000813825 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1May70  ']",[],"['Los Angeles, CA.  Vol. 6, 1970.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Los Angeles, CA.']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],['Sanborn map'],[]
29,['Text'],"['RE0000813826 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1JUn70  ']",[],"['Los Angeles, CA.  Vol. 9, 1970.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Los Angeles, CA.']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],['Sanborn map'],[]
30,['Text'],"['RE0000813827 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jun70  ']",[],"['Los Angeles, CA.  Vol. 9A, 1970.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Los Angeles, CA.']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],['Sanborn map'],[]
31,['Text'],"['RE0000813828 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1970-06-01  ']",[],"['Los Angeles, California.  Vol. 10, 1970.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions and revisions.'],[],"['Los Angeles, California']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],['Sanborn map'],[]
32,['Text'],"['RE0000813829 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1970-06-01  ']",[],"['Los Angeles, California.  Vol. 10A, 1970.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions and revisions.'],[],"['Los Angeles, California']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],['Sanborn map'],[]
33,['Text'],"['RE0000813830 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / 1970-07-01  ']",[],"['Los Angeles, California.  Vol. 11, 1970.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions and revisions.'],[],"['Los Angeles, California']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],['Sanborn map'],[]
34,['Text'],"['RE0000790532 / 1998-08-24 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan67  ']",[],"['Los Angeles, California.  Vol. 2.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Los Angeles, California.']",[],"['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
35,['Text'],"['RE0000790533 / 1998-08-24 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan68  ']",[],"['Los Angeles, California.  Vol. 3.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Los Angeles, California.']",[],"['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
36,['Text'],"['RE0000790528 / 1998-08-24 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan66  ']",[],"['Los Angeles, California.  Vol. 4.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Los Angeles, California.']",[],"['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
37,['Text'],"['RE0000790534 / 1998-08-24 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan69  ']",[],"['Los Angeles, California.  Vol. 41.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Los Angeles, California.']",[],"['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
38,['Text'],"['RE0000790538 / 1998-08-24 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan69  ']",[],"['Los Angeles, California.  Vol. 42.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Los Angeles, California.']",[],"['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
39,['Text'],"['RE0000790529 / 1998-08-24 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan68  ']",[],"['Los Angeles, California.  Vol. 5.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Los Angeles, California.']",[],"['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
40,['Text'],"['RE0000790536 / 1998-08-24 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan69  ']",[],"['Los Angeles, California.  Vol. 5A.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Los Angeles, California.']",[],"['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
41,['Text'],"['RE0000790530 / 1998-08-24 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan66  ']",[],"['Los Angeles, California.  Vol. 6.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Los Angeles, California.']",[],"['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
42,['Map'],['VA0000993394 / 1999-07-06 '],"['Sanborn map, Louisville, Kentucky, vol. 9 & 11, 1992; Sanborn fire insurance map.']","['Louisville, KY : vol. 9 & 11.']","['Louisville, KY']",[],"['Sanborn Library, LLC']",['1992'],['1992-05-01  '],['Sanborn Map Company.'],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Louisville, KY : vol. 9 & 11']","['Sanborn map, Louisville, Kentucky, vol. 9 & 11, 1992', 'Sanborn fire insurance map.']","['Sanborn Library, LLC', 'Sanborn Map Company.']",[],[],[],[]
43,['Map'],['VA0001078391 / 1999-09-16 '],[],['Mamaroneck : [NY]'],"['Mamaroneck, NY']",['Map.'],['Sanborn Map Company'],['1996'],['1996-04-01  '],"['Sanborn Map Company, Inc., employer for hire.']",['Pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],['Mamaroneck : [NY]'],[],"['Sanborn Map Company', 'Sanborn Map Company, Inc.']",[],[],[],[]
44,['Map'],['VA0001078392 / 1999-09-16 '],[],['Mamaroneck : [NY]'],"['Mamaroneck, NY']",['Map.'],['Sanborn Map Company'],['1995'],['1995-05-01  '],"['Sanborn Map Company, Inc., employer for hire.']",['Pub. map versions preexisting.'],['New Matter: updated cartography.'],['C.O. correspondence.'],['Mamaroneck : [NY]'],[],"['Sanborn Map Company', 'Sanborn Map Company, Inc.']",[],[],[],[]
45,['Map'],['VA0000992559 / 2000-02-11 '],[],"['Manchester, NH : vol. 1.']","['Manchester, NH']",[],['Sanborn Map Company'],['1973'],['1973-04-01  '],[],['Preexisting material: prev. pub. map versions.'],['New Matter: updated cartography.'],['C.O. correspondence.'],"['Manchester, NH : vol. 1']",[],['Sanborn Map Company'],['Rev. to 1973.'],[],[],[]
46,['Map'],['VA0000936903 / 1998-08-28 '],"['Sanborn map Manhattan, New York; Sanborn fire insurance map.']","['Manhattan, New York : vol. 11N.']","['Manhattan, NY']",['Map.'],"['EDR Sanborn, Inc.']",['1996'],['1996-07-01  '],"['map & technical drawing: Sanborn Map Company, employer for hire.']",['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],"['Manhattan, New York : vol. 11N']","['Sanborn map Manhattan, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",['Rev. 1996.'],[],[],[]
47,['Map'],['VA0000936908 / 1998-08-28 '],"['Sanborn map Manhattan, New York; Sanborn fire insurance map.']","['Manhattan, New York : vol. 11N.']","['Manhattan, NY']",['Map.'],"['EDR Sanborn, Inc.']",['1993'],['1993-07-01  '],"['map & technical drawing: Sanborn Map Company, employer for hire.']",['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],"['Manhattan, New York : vol. 11N']","['Sanborn map Manhattan, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",['Rev. 1993/94.'],[],[],[]
48,['Map'],['VA0000936915 / 1998-08-28 '],"['Sanborn map Manhattan, New York; Sanborn fire insurance map.']","['Manhattan, New York : vol. 11S.']","['Manhattan, NY']",['Map.'],"['EDR Sanborn, Inc.']",['1991'],['1991-05-01  '],"['map & technical drawing: Sanborn Map Company, employer for hire.']",['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],"['Manhattan, New York : vol. 11S']","['Sanborn map Manhattan, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",['Rev. 1991.'],[],[],[]
49,['Map'],['VA0000936909 / 1998-08-28 '],"['Sanborn map Manhattan, New York; Sanborn fire insurance map.']","['Manhattan, New York : vol. 12.']","['Manhattan, NY']",['Map.'],"['EDR Sanborn, Inc.']",['1995'],['1995-07-01  '],"['map & technical drawing: Sanborn Map Company, employer for hire.']",['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],"['Manhattan, New York : vol. 12']","['Sanborn map Manhattan, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",['Rev. July 1995.'],[],[],[]
50,['Map'],['VA0000936920 / 1998-12-28 '],"['Sanborn map Manhattan, New York; Sanborn fire insurance map.']","['Manhattan, New York : vol. 1S.']","['Manhattan, NY']",['Map.'],"['EDR Sanborn, Inc.']",['1995'],['1995-09-01  '],"['map & technical drawing: Sanborn Map Company, employer for hire.']",['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],"['Manhattan, New York : vol. 1S']","['Sanborn map Manhattan, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",['Rev. Sept. 1995.'],[],[],[]
51,['Map'],['VA0000936916 / 1998-08-28 '],"['Sanborn map Manhattan, New York; Sanborn fire insurance map.']","['Manhattan, New York : vol. 3.']","['Manhattan, NY']",['Map.'],"['EDR Sanborn, Inc.']",['1995'],['1995-10-01  '],"['map & technical drawing: Sanborn Map Company, employer for hire.']",['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],"['Manhattan, New York : vol. 3']","['Sanborn map Manhattan, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",['Rev. Oct. 1995.'],[],[],[]
52,['Map'],['VA0000936904 / 1998-12-28 '],"['Sanborn map Manhattan, New York; Sanborn fire insurance map.']","['Manhattan, New York : vol. 5.']","['Manhattan, NY']",['Map.'],"['EDR Sanborn, Inc.']",['1994'],['1994-09-01  '],"['map & technical drawing: Sanborn Map Company, employer for hire.']",['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],"['Manhattan, New York : vol. 5']","['Sanborn map Manhattan, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",[],[],[],[]
53,['Map'],['VA0000936907 / 1998-08-28 '],"['Sanborn map Manhattan, New York; Sanborn fire insurance map.']","['Manhattan, New York : vol. 5N.']","['Manhattan, NY']",['Map.'],"['EDR Sanborn, Inc.']",['1996'],['1996-09-01  '],"['map & technical drawing: Sanborn Map Company, employer for hire.']",['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],"['Manhattan, New York : vol. 5N']","['Sanborn map Manhattan, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",['Rev. 1996.'],[],[],[]
54,['Map'],['VA0000936900 / 1998-12-28 '],"['Sanborn map Manhattan, New York; Sanborn fire insurance map.']","['Manhattan, New York : vol. 5N.']","['Manhattan, NY']",['Map.'],"['EDR Sanborn, Inc.']",['1991'],['1991-01-01  '],"['map & technical drawing: Sanborn Map Company, employer for hire.']",['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],"['Manhattan, New York : vol. 5N']","['Sanborn map Manhattan, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",['Rev. 1991.'],[],[],[]
55,['Map'],['VA0000936906 / 1998-08-28 '],"['Sanborn map Manhattan, New York; Sanborn fire insurance map.']","['Manhattan, New York : vol. 5S.']","['Manhattan, NY']",['Map.'],"['EDR Sanborn, Inc.']",['1996'],['1996-09-01  '],"['map & technical drawing: Sanborn Map Company, employer for hire.']",['Preexisting material: prev. pub. map versions.'],['New Matter: new & rev. map and cartographic compilation.'],['C.O. correspondence.'],"['Manhattan, New York : vol. 5S']","['Sanborn map Manhattan, New York', 'Sanborn fire insurance map']","['EDR Sanborn, Inc.', 'Sanborn Map Company']",['Rev. 1996.'],[],[],[]
